AY_ID,EXAM_ID,SUB_ID,ADMNO,MARKS_OBTAINED
2022-2023,FINAL,CA,2359,82
2022-2023,FINAL,CA,2360,90
2022-2023,FINAL,CA,2363,0
2022-2023,FINAL,CA,2364,87.5
2022-2023,FINAL,CA,2365,86
2022-2023,FINAL,CA,2366,98
2022-2023,FINAL,CA,2367,88.5
2022-2023,FINAL,CA,2368,43
2022-2023,FINAL,CA,2369,73
2022-2023,FINAL,CA,2371,86
2022-2023,FINAL,CA,2373,77
2022-2023,FINAL,CA,2374,86
2022-2023,FINAL,CA,2375,97
2022-2023,FINAL,CA,2376,82
2022-2023,FINAL,CA,2377,83
2022-2023,FINAL,CA,2378,74
2022-2023,FINAL,CA,2379,88.5
2022-2023,FINAL,CA,2380,90.5
2022-2023,FINAL,CA,2381,89
2022-2023,FINAL,CA,2382,81.5
2022-2023,FINAL,CA,2383,86
2022-2023,FINAL,CA,2384,54
2022-2023,FINAL,CA,2385,90.5
2022-2023,FINAL,CA,2387,0
2022-2023,FINAL,CA,2390,49
2022-2023,FINAL,CA,2391,88
2022-2023,FINAL,CA,2392,90
2022-2023,FINAL,CA,2393,91
2022-2023,FINAL,CA,2394,87.5
2022-2023,FINAL,CA,2395,90
2022-2023,FINAL,CA,2397,90.5
2022-2023,FINAL,CA,2398,93
2022-2023,FINAL,CA,2400,73
2022-2023,FINAL,CA,2401,86.5
2022-2023,FINAL,CA,2402,59
2022-2023,FINAL,CA,2403,73
2022-2023,FINAL,CA,2404,56
2022-2023,FINAL,CA,2405,72
2022-2023,FINAL,CA,2406,94.5
2022-2023,FINAL,CA,2407,79.5
2022-2023,FINAL,CA,2408,85
2022-2023,FINAL,CA,2410,71
2022-2023,FINAL,CA,2411,67
2022-2023,FINAL,CA,2412,83
2022-2023,FINAL,CA,2413,72
2022-2023,FINAL,CA,2414,77
2022-2023,FINAL,CA,2416,80
2022-2023,FINAL,CA,2418,78
2022-2023,FINAL,CA,2419,86.5
2022-2023,FINAL,CA,2420,85
2022-2023,FINAL,CA,2421,88
2022-2023,FINAL,CA,2422,91
2022-2023,FINAL,CA,2423,77.5
2022-2023,FINAL,CA,2424,70
2022-2023,FINAL,CA,2426,78.5
2022-2023,FINAL,CA,2428,48
2022-2023,FINAL,CA,2430,83.5
2022-2023,FINAL,CA,2433,85.5
2022-2023,FINAL,CA,2434,89
2022-2023,FINAL,CA,2435,77
2022-2023,FINAL,CA,2437,51
2022-2023,FINAL,CA,2438,88
2022-2023,FINAL,CA,2439,88.5
2022-2023,FINAL,CA,2440,91.5
2022-2023,FINAL,CA,2441,88
2022-2023,FINAL,CA,2442,75.5
2022-2023,FINAL,CA,2443,81
2022-2023,FINAL,CA,2444,90
2022-2023,FINAL,CA,2445,81
2022-2023,FINAL,CA,2446,83
2022-2023,FINAL,CA,2447,74.5
2022-2023,FINAL,CA,2456,81
2022-2023,FINAL,CA,2460,58
2022-2023,FINAL,CA,2461,80.5
2022-2023,FINAL,CA,2464,25
2022-2023,FINAL,CA,2465,22
2022-2023,FINAL,CA,2466,82
2022-2023,FINAL,CA,2467,43
2022-2023,FINAL,CA,2469,30.5
2022-2023,FINAL,CA,2471,84
2022-2023,FINAL,CA,2472,60
2022-2023,FINAL,CA,2474,82
2022-2023,FINAL,CA,2475,80
2022-2023,FINAL,CA,2477,88
2022-2023,FINAL,CA,2478,74
2022-2023,FINAL,CA,2479,55
2022-2023,FINAL,CA,2480,87
2022-2023,FINAL,CA,2481,83.5
2022-2023,FINAL,CA,2482,0
2022-2023,FINAL,CA,2483,91
2022-2023,FINAL,CA,2485,85
2022-2023,FINAL,CA,2486,85
2022-2023,FINAL,CA,2487,28
2022-2023,FINAL,CA,2492,63
